Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
742277;POLICY3_CLOUD;TASK_CONCLUDED;69609;1641197;5025;408556;1451361
745474;POLICY3_CLOUD;TASK_CONCLUDED;100732;2374938;7273;591213;2100233
746093;POLICY3_CLOUD;TASK_CONCLUDED;91109;2148072;6578;534737;1899608
747518;POLICY3_CLOUD;TASK_CANCELED;130466;2443932;5373;608388;2182271
748650;POLICY3_CLOUD;TASK_CONCLUDED;83259;1962997;6011;488665;1735940
749196;POLICY3_CLOUD;TASK_CONCLUDED;56665;1336035;4091;332590;1181497
751331;POLICY3_CLOUD;TASK_CONCLUDED;102253;2410805;7382;600141;2131951
752711;POLICY3_CLOUD;TASK_CONCLUDED;85653;2019454;6184;502719;1785867
753011;POLICY3_CLOUD;TASK_CANCELED;152891;2863993;6297;712957;2557358
757246;POLICY2_MEC;TASK_CONCLUDED;24228;1258550;26368;287070;1088911
759332;POLICY3_CLOUD;TASK_CONCLUDED;52156;1229719;3765;306124;1087478
759394;POLICY3_CLOUD;TASK_CONCLUDED;91835;2165181;6630;538996;1914738
760020;POLICY3_CLOUD;TASK_CONCLUDED;93160;2196417;6726;546772;1942361
762458;POLICY3_CLOUD;TASK_CONCLUDED;68156;1606937;4921;400028;1421065
762981;POLICY3_CLOUD;TASK_CONCLUDED;54637;1288210;3944;320684;1139203
765519;POLICY3_CLOUD;TASK_CANCELED;110863;2076734;4566;516978;1854386
766110;POLICY3_CLOUD;TASK_CANCELED;120724;2261463;4972;562964;2019338
767724;POLICY2_MEC;TASK_CONCLUDED;57016;1399866;14664;319303;1232300
768692;POLICY3_CLOUD;TASK_CONCLUDED;84400;1989895;6093;495361;1759727
768944;POLICY3_CLOUD;TASK_CONCLUDED;89361;2106865;6452;524479;1863168
769330;POLICY3_CLOUD;TASK_CONCLUDED;71367;1682647;5152;418875;1488017
769685;POLICY2_MEC;TASK_CONCLUDED;35356;1836538;38478;418907;1588992
770967;POLICY3_CLOUD;TASK_CONCLUDED;56311;1327678;4065;330510;1174107
772089;POLICY3_CLOUD;TASK_CONCLUDED;96942;2285587;6999;568970;2021217
773791;POLICY3_CLOUD;TASK_CONCLUDED;84097;1982770;6072;493587;1753426
774483;POLICY3_CLOUD;TASK_CONCLUDED;99765;2352155;7203;585541;2080086
775295;POLICY3_CLOUD;TASK_CONCLUDED;73146;1724578;5281;429313;1525098
777855;POLICY3_CLOUD;TASK_CONCLUDED;78123;1841925;5640;458525;1628872
778103;POLICY3_CLOUD;TASK_CONCLUDED;93219;2197820;6730;547121;1943601
778233;POLICY3_CLOUD;TASK_CONCLUDED;96445;2273869;6963;566053;2010854
779003;POLICY3_CLOUD;TASK_CONCLUDED;64794;1527666;4678;380294;1350962
785673;POLICY3_CLOUD;TASK_CONCLUDED;93669;2208437;6763;549764;1952991
789342;POLICY3_CLOUD;TASK_CONCLUDED;83148;1557591;3424;387744;1390825
790268;POLICY3_CLOUD;TASK_CONCLUDED;92498;2180821;6678;542889;1928569
790317;POLICY3_CLOUD;TASK_CONCLUDED;85599;2018166;6180;502398;1784728
790458;POLICY3_CLOUD;TASK_CONCLUDED;73649;1379660;3033;343450;1231944
791052;POLICY3_CLOUD;TASK_CANCELED;106694;1998650;4394;497540;1784662
791071;POLICY3_CLOUD;TASK_CONCLUDED;51551;1215454;3722;302573;1074863
792485;POLICY3_CLOUD;TASK_CONCLUDED;79307;1869833;5726;465473;1653552
792599;POLICY3_CLOUD;TASK_CONCLUDED;90951;2144340;6566;533808;1896308
793584;POLICY3_CLOUD;TASK_CONCLUDED;105353;2483889;7606;618335;2196582
794190;POLICY3_CLOUD;TASK_CONCLUDED;104863;2472349;7571;615462;2186377
795771;POLICY3_CLOUD;TASK_CONCLUDED;50705;1195518;3661;297610;1057233
796245;POLICY3_CLOUD;TASK_CANCELED;148388;2779645;6111;691960;2482041
797269;POLICY2_MEC;TASK_CONCLUDED;29115;1512372;31686;344966;1308520
797792;POLICY3_CLOUD;TASK_CONCLUDED;51011;1202718;3683;299402;1063600
797895;POLICY2_MEC;TASK_CONCLUDED;28539;1482448;31059;338140;1282630
798613;POLICY3_CLOUD;TASK_CONCLUDED;93239;2198296;6732;547240;1944023
799171;POLICY3_CLOUD;TASK_CONCLUDED;80413;1895899;5806;471962;1676604
799969;POLICY3_CLOUD;TASK_CONCLUDED;109023;2570411;7871;639873;2273096
804157;POLICY3_CLOUD;TASK_CONCLUDED;73469;1732197;5304;431210;1531836
806350;POLICY3_CLOUD;TASK_CONCLUDED;72164;1701432;5210;423551;1504629
806942;POLICY3_CLOUD;TASK_CONCLUDED;86327;2035342;6233;506674;1799917
807310;POLICY3_CLOUD;TASK_CONCLUDED;61703;1454797;4455;362154;1286522
808197;POLICY3_CLOUD;TASK_CONCLUDED;87355;2059560;6307;512703;1821334
809511;POLICY3_CLOUD;TASK_CONCLUDED;56587;1334197;4085;332132;1179871
812138;POLICY3_CLOUD;TASK_CONCLUDED;94030;2216941;6789;551881;1960512
812724;POLICY3_CLOUD;TASK_CONCLUDED;101290;2388096;7313;594488;2111869
816531;POLICY3_CLOUD;TASK_CONCLUDED;106331;2506959;7677;624078;2216984
816716;POLICY3_CLOUD;TASK_CONCLUDED;91745;2163073;6624;538471;1912874
816742;POLICY3_CLOUD;TASK_CONCLUDED;116386;2744007;8403;683088;2426613
819397;POLICY3_CLOUD;TASK_CONCLUDED;70038;1651298;5056;411071;1460294
820247;POLICY3_CLOUD;TASK_CONCLUDED;64429;1519060;4651;378152;1343352
820532;POLICY3_CLOUD;TASK_CONCLUDED;69596;1640895;5025;408481;1451094
821503;POLICY3_CLOUD;TASK_CONCLUDED;58965;1390260;4257;346089;1229450
822443;POLICY3_CLOUD;TASK_CONCLUDED;104214;2457033;7524;611649;2172832
823648;POLICY3_CLOUD;TASK_CONCLUDED;110270;2599825;7961;647196;2299108
824115;POLICY3_CLOUD;TASK_CONCLUDED;110861;2613753;8004;650663;2311425
824529;POLICY3_CLOUD;TASK_CONCLUDED;82158;1937046;5932;482205;1712991
829171;POLICY3_CLOUD;TASK_CONCLUDED;75864;1788648;5477;445263;1581757
830417;POLICY3_CLOUD;TASK_CONCLUDED;80190;1890647;5789;470654;1671958
830749;POLICY3_CLOUD;TASK_CONCLUDED;88148;2078263;6364;517359;1837873
831979;POLICY3_CLOUD;TASK_CONCLUDED;107732;2539973;7778;632296;2246179
834036;POLICY3_CLOUD;TASK_CANCELED;127600;2390247;5255;595024;2134333
834269;POLICY3_CLOUD;TASK_CONCLUDED;77946;1837745;5627;457485;1625176
834442;POLICY3_CLOUD;TASK_CONCLUDED;61554;1451291;4444;361282;1283422
834966;POLICY3_CLOUD;TASK_CONCLUDED;77869;1458711;3207;363129;1302532
835046;POLICY3_CLOUD;TASK_CONCLUDED;75553;1781329;5455;443441;1575285
838484;POLICY3_CLOUD;TASK_CONCLUDED;100934;2379704;7287;592399;2104447
839374;POLICY3_CLOUD;TASK_CONCLUDED;62810;1480899;4535;368652;1309605
839945;POLICY3_CLOUD;TASK_CONCLUDED;70444;1660879;5086;413456;1468767
840428;POLICY3_CLOUD;TASK_CONCLUDED;65616;1547063;4737;385123;1368116
840943;POLICY3_CLOUD;TASK_CANCELED;125112;2343642;5152;583422;2092718
841836;POLICY3_CLOUD;TASK_CANCELED;141620;2652881;5832;660403;2368849
842290;POLICY3_CLOUD;TASK_CONCLUDED;70859;1670650;5116;415888;1477408
842657;POLICY3_CLOUD;TASK_CONCLUDED;105862;2495898;7643;621324;2207202
844282;POLICY3_CLOUD;TASK_CONCLUDED;107645;2537925;7772;631786;2244368
846392;POLICY3_CLOUD;TASK_CONCLUDED;85508;2016027;6173;501866;1782836
848578;POLICY3_CLOUD;TASK_CONCLUDED;94182;2220531;6800;552775;1963686
852288;POLICY3_CLOUD;TASK_CONCLUDED;75320;1775833;5438;442072;1570425
852887;POLICY3_CLOUD;TASK_CONCLUDED;94105;2218707;6794;552321;1962073
854095;POLICY3_CLOUD;TASK_CONCLUDED;118551;2795051;8559;695795;2471753
858518;POLICY3_CLOUD;TASK_CONCLUDED;116123;2737811;8384;681546;2421134
859987;POLICY3_CLOUD;TASK_CONCLUDED;118235;2787608;8536;693942;2465171
863361;POLICY3_CLOUD;TASK_CONCLUDED;65510;1544557;4730;384499;1365900
866377;POLICY3_CLOUD;TASK_CONCLUDED;83236;1962453;6009;488529;1735459
867241;POLICY3_CLOUD;TASK_CONCLUDED;83928;1978781;6059;492594;1749898
867797;POLICY3_CLOUD;TASK_CONCLUDED;118935;2804091;8587;698045;2479747
868929;POLICY3_CLOUD;TASK_CONCLUDED;117084;2760453;8453;687182;2441157
869778;POLICY3_CLOUD;TASK_CONCLUDED;107902;2543975;7790;633292;2249718
871338;POLICY3_CLOUD;TASK_CONCLUDED;103314;2435827;7459;606370;2154079
872362;POLICY3_CLOUD;TASK_CONCLUDED;109584;2583630;7912;643164;2284786
873893;POLICY3_CLOUD;TASK_CONCLUDED;117603;2772704;8491;690232;2451991
874194;POLICY3_CLOUD;TASK_CONCLUDED;96171;2267426;6943;564449;2005157
881466;POLICY3_CLOUD;TASK_CONCLUDED;112628;2655416;8132;661034;2348269
881918;POLICY3_CLOUD;TASK_CONCLUDED;87241;2056875;6299;512035;1818960
882583;POLICY3_CLOUD;TASK_CONCLUDED;120152;2832800;8675;705192;2505136
882927;POLICY3_CLOUD;TASK_CONCLUDED;72184;1701911;5211;423670;1505053
883997;POLICY3_CLOUD;TASK_CONCLUDED;80364;1894740;5802;471673;1675578
885237;POLICY3_CLOUD;TASK_CONCLUDED;85088;2006116;6143;499399;1774071
886668;POLICY3_CLOUD;TASK_CONCLUDED;125417;2956923;9055;736091;2614902
888239;POLICY3_CLOUD;TASK_CONCLUDED;88186;2079170;6367;517585;1838676
889405;POLICY3_CLOUD;TASK_CONCLUDED;99137;1857102;4083;462303;1658269
892071;POLICY3_CLOUD;TASK_CONCLUDED;118662;2797661;8567;696445;2474061
892687;POLICY3_CLOUD;TASK_CONCLUDED;103386;2437521;7464;606792;2155577
893671;POLICY3_CLOUD;TASK_CONCLUDED;117644;2773661;8494;690470;2452837
895001;POLICY3_CLOUD;TASK_CONCLUDED;122668;2892117;8856;719958;2557591
897135;POLICY3_CLOUD;TASK_CONCLUDED;76159;1795610;5498;446996;1587914
897665;POLICY3_CLOUD;TASK_CANCELED;117696;2204738;4847;548843;1968685
900409;POLICY3_CLOUD;TASK_CONCLUDED;81920;1931425;5914;480805;1708020
904679;POLICY3_CLOUD;TASK_CONCLUDED;84064;1981989;6069;493393;1752735
905903;POLICY3_CLOUD;TASK_CONCLUDED;79792;1881257;5761;468316;1663654
907167;POLICY3_CLOUD;TASK_CONCLUDED;126243;2976385;9115;740936;2632113
908227;POLICY3_CLOUD;TASK_CANCELED;114700;2148617;4724;534873;1918574
909479;POLICY3_CLOUD;TASK_CONCLUDED;90890;2142904;6562;533451;1895038
911390;POLICY2_MEC;TASK_CONCLUDED;35685;1853658;38837;422812;1603805
915416;POLICY3_CLOUD;TASK_CONCLUDED;119419;2815502;8622;700886;2489838
915598;POLICY3_CLOUD;TASK_CONCLUDED;87784;2069692;6338;515225;1830294
915880;POLICY3_CLOUD;TASK_CONCLUDED;113059;2665575;8163;663563;2357253
916585;POLICY3_CLOUD;TASK_CONCLUDED;115274;2717796;8323;676563;2403434
918751;POLICY3_CLOUD;TASK_CANCELED;126633;2372144;5215;590517;2118169
919338;POLICY3_CLOUD;TASK_CONCLUDED;75318;1775786;5438;442061;1570384
922560;POLICY3_CLOUD;TASK_CONCLUDED;93467;2203657;6748;548574;1948764
922767;POLICY3_CLOUD;TASK_CONCLUDED;108323;2553901;7821;635763;2258496
925709;POLICY3_CLOUD;TASK_CONCLUDED;72304;1704719;5220;424369;1507536
926288;POLICY3_CLOUD;TASK_CONCLUDED;106774;2517387;7709;626674;2226206
928558;POLICY3_CLOUD;TASK_CONCLUDED;77433;1825662;5590;454477;1614490
932414;POLICY3_CLOUD;TASK_CONCLUDED;133708;3152378;9654;784747;2787749
933520;POLICY3_CLOUD;TASK_CONCLUDED;74785;1763227;5399;438934;1559277
934753;POLICY3_CLOUD;TASK_CONCLUDED;111691;2633314;8064;655532;2328723
934875;POLICY3_CLOUD;TASK_CONCLUDED;78639;1854094;5677;461555;1639634
939817;POLICY3_CLOUD;TASK_CONCLUDED;76203;1796655;5502;447256;1588839
941639;POLICY3_CLOUD;TASK_CONCLUDED;137230;3235415;9908;805418;2861182
942301;POLICY3_CLOUD;TASK_CONCLUDED;99734;2351423;7201;585359;2079438
943136;POLICY3_CLOUD;TASK_CONCLUDED;132911;3133597;9596;780072;2771140
946788;POLICY3_CLOUD;TASK_CONCLUDED;134014;3159598;9676;786544;2794134
949023;POLICY3_CLOUD;TASK_CONCLUDED;106921;2520851;7719;627536;2229268
950211;POLICY3_CLOUD;TASK_CONCLUDED;86076;2029415;6214;505199;1794676
950451;POLICY3_CLOUD;TASK_CANCELED;175887;3294746;7244;820188;2941993
950851;POLICY3_CLOUD;TASK_CONCLUDED;101940;2403424;7360;598304;2125424
952965;POLICY3_CLOUD;TASK_CONCLUDED;110751;2611146;7996;650014;2309119
954871;POLICY3_CLOUD;TASK_CONCLUDED;88485;2086209;6388;519337;1844901
957712;POLICY3_CLOUD;TASK_CONCLUDED;96431;2273552;6962;565974;2010574
959416;POLICY3_CLOUD;TASK_CONCLUDED;121694;2869138;8786;714238;2537271
959579;POLICY3_CLOUD;TASK_CONCLUDED;122490;2887902;8844;718909;2553864
963005;POLICY3_CLOUD;TASK_CONCLUDED;109753;2587621;7924;644158;2288316
963682;POLICY3_CLOUD;TASK_CONCLUDED;106800;2517996;7711;626825;2226744
963867;POLICY3_CLOUD;TASK_CONCLUDED;110962;2616123;8011;651253;2313521
963951;POLICY3_CLOUD;TASK_CONCLUDED;137789;3248597;9948;808700;2872838
964047;POLICY3_CLOUD;TASK_CONCLUDED;100626;2372459;7265;590595;2098040
968011;POLICY3_CLOUD;TASK_CONCLUDED;87997;2074698;6353;516471;1834721
970016;POLICY3_CLOUD;TASK_CONCLUDED;90604;2136179;6541;531776;1889090
972526;POLICY3_CLOUD;TASK_CONCLUDED;97212;2291948;7018;570553;2026842
973193;POLICY3_CLOUD;TASK_CONCLUDED;109224;2575158;7886;641055;2277295
975631;POLICY3_CLOUD;TASK_CONCLUDED;101277;2387784;7312;594410;2111593
976270;POLICY3_CLOUD;TASK_CONCLUDED;92109;2171651;6650;540607;1920460
976525;POLICY3_CLOUD;TASK_CONCLUDED;104868;2472447;7571;615486;2186463
978930;POLICY3_CLOUD;TASK_CONCLUDED;89815;2117565;6484;527143;1872630
980425;POLICY3_CLOUD;TASK_CONCLUDED;85039;2004976;6140;499115;1773063
982156;POLICY3_CLOUD;TASK_CONCLUDED;105201;2480317;7595;617445;2193423
982540;POLICY3_CLOUD;TASK_CONCLUDED;122669;2892136;8857;719963;2557608
993037;POLICY3_CLOUD;TASK_CONCLUDED;83987;1980164;6064;492938;1751122
993857;POLICY3_CLOUD;TASK_CONCLUDED;111427;2627103;8045;653986;2323231
994768;POLICY3_CLOUD;TASK_CONCLUDED;128886;3038705;9305;756450;2687224
998212;POLICY3_CLOUD;TASK_CONCLUDED;123647;2915187;8927;725701;2577993
1001622;POLICY3_CLOUD;TASK_CONCLUDED;140062;3302200;10112;822044;2920241
1002426;POLICY3_CLOUD;TASK_CONCLUDED;85926;2025872;6204;504317;1791543
1003990;POLICY3_CLOUD;TASK_CONCLUDED;106435;2509399;7684;624685;2219141
1004534;POLICY3_CLOUD;TASK_CONCLUDED;90734;2139227;6551;532535;1891786
1005625;POLICY3_CLOUD;TASK_CONCLUDED;118215;2787118;8535;693820;2464738
1005737;POLICY3_CLOUD;TASK_CONCLUDED;132013;3112430;9531;774803;2752422
1006446;POLICY3_CLOUD;TASK_CONCLUDED;101297;2388265;7313;594530;2112019
1009526;POLICY3_CLOUD;TASK_CONCLUDED;121984;2875988;8807;715943;2543328
1011116;POLICY3_CLOUD;TASK_CONCLUDED;130219;3070119;9402;764270;2715005
1014032;POLICY3_CLOUD;TASK_CONCLUDED;112748;2658244;8140;661738;2350770
1015674;POLICY3_CLOUD;TASK_CONCLUDED;112134;2643771;8096;658135;2337971
1016499;POLICY3_CLOUD;TASK_CONCLUDED;136955;3228949;9888;803809;2855464
1019450;POLICY3_CLOUD;TASK_CONCLUDED;92568;2182476;6683;543301;1930032
1025144;POLICY3_CLOUD;TASK_CONCLUDED;143236;3377025;10342;840670;2986412
1027047;POLICY3_CLOUD;TASK_CONCLUDED;121376;2861659;8763;712376;2530656
1029445;POLICY3_CLOUD;TASK_CONCLUDED;147396;3475091;10642;865083;3073135
1030856;POLICY3_CLOUD;TASK_CONCLUDED;111996;2640504;8086;657322;2335082
1030919;POLICY3_CLOUD;TASK_CONCLUDED;130241;3070641;9403;764400;2715466
1031693;POLICY3_CLOUD;TASK_CONCLUDED;143615;3385952;10369;842893;2994306
1033179;POLICY3_CLOUD;TASK_CONCLUDED;97572;2300441;7044;572667;2034352
1033976;POLICY3_CLOUD;TASK_CONCLUDED;132460;3122965;9563;777425;2761738
1034966;POLICY3_CLOUD;TASK_CONCLUDED;148282;3495994;10706;870286;3091620
1036567;POLICY3_CLOUD;TASK_CONCLUDED;102712;2421638;7416;602838;2141531
1037709;POLICY3_CLOUD;TASK_CONCLUDED;144769;3413168;10452;849668;3018374
1037752;POLICY3_CLOUD;TASK_CONCLUDED;148203;3494122;10700;869820;3089964
