Time;Task-ID;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
688755;Task-320;POLICY3_CLOUD;TASK_CONCLUDED;63401;1494826;4577;372119;1321921
691934;Task-287;POLICY3_CLOUD;TASK_CONCLUDED;68395;1612563;4938;401428;1426039
694283;Task-337;POLICY3_CLOUD;TASK_CONCLUDED;60085;1416650;4338;352658;1252788
694460;Task-213;POLICY3_CLOUD;TASK_CONCLUDED;81677;1925707;5897;479382;1702963
694536;Task-366;POLICY3_CLOUD;TASK_CONCLUDED;55594;1310777;4014;326302;1159160
696002;Task-312;POLICY3_CLOUD;TASK_CONCLUDED;65197;1537185;4707;382664;1359380
699049;Task-114;POLICY3_CLOUD;TASK_CONCLUDED;99143;2337477;7158;581887;2067105
699326;Task-227;POLICY3_CLOUD;TASK_CONCLUDED;79417;1872435;5734;466120;1655853
700191;Task-237;POLICY3_CLOUD;TASK_CONCLUDED;77911;1836919;5625;457279;1624445
700921;Task-259;POLICY3_CLOUD;TASK_CONCLUDED;94928;1778249;3909;442674;1587858
701927;Task-283;POLICY3_CLOUD;TASK_CONCLUDED;70675;1666332;5102;414813;1473589
702567;Task-255;POLICY3_CLOUD;TASK_CONCLUDED;76179;1796083;5500;447113;1588333
705166;Task-146;POLICY3_CLOUD;TASK_CONCLUDED;94495;2227903;6822;554610;1970205
705722;Task-282;POLICY3_CLOUD;TASK_CONCLUDED;71499;1685755;5162;419648;1490765
705926;Task-388;POLICY3_CLOUD;TASK_CONCLUDED;53747;1267233;3880;315462;1120653
706862;Task-375;POLICY3_CLOUD;TASK_CONCLUDED;56296;1327333;4064;330424;1173801
713688;Task-127;POLICY3_CLOUD;TASK_CONCLUDED;98667;2326251;7123;579093;2057178
719309;Task-327;POLICY3_CLOUD;TASK_CONCLUDED;65949;1554909;4761;387076;1375054
720629;Task-225;POLICY3_CLOUD;TASK_CONCLUDED;83283;1963580;6013;488810;1736456
724430;Task-250;POLICY3_CLOUD;TASK_CONCLUDED;80582;1899889;5818;472955;1680132
728785;Task-426;POLICY3_CLOUD;TASK_CONCLUDED;50915;1200462;3676;298841;1061605
729138;Task-344;POLICY3_CLOUD;TASK_CONCLUDED;65015;1532890;4694;381595;1355582
729355;Task-431;POLICY2_MEC;TASK_CONCLUDED;23040;1196829;25075;272992;1035509
739162;Task-407;POLICY3_CLOUD;TASK_CONCLUDED;56135;1323539;4053;329479;1170446
740741;Task-203;POLICY3_CLOUD;TASK_CONCLUDED;90728;2139099;6550;532503;1891673
747131;Task-322;POLICY3_CLOUD;TASK_CONCLUDED;72324;1705208;5222;424491;1507968
749623;Task-208;POLICY3_CLOUD;TASK_CONCLUDED;91387;2154624;6598;536368;1905402
749838;Task-191;POLICY3_CLOUD;TASK_CONCLUDED;94200;2220954;6801;552880;1964060
750647;Task-329;POLICY3_CLOUD;TASK_CONCLUDED;89768;1681594;3697;418613;1501552
750910;Task-376;POLICY2_MEC;TASK_CONCLUDED;29101;1511672;31672;344806;1307915
751199;Task-370;POLICY3_CLOUD;TASK_CONCLUDED;64520;1521204;4658;378685;1345247
753664;Task-412;POLICY3_CLOUD;TASK_CONCLUDED;58071;1369178;4192;340841;1210807
754012;Task-214;POLICY3_CLOUD;TASK_CONCLUDED;91562;2158756;6611;537397;1909056
754163;Task-252;POLICY3_CLOUD;TASK_CONCLUDED;85143;2007432;6147;499726;1775235
755024;Task-178;POLICY3_CLOUD;TASK_CONCLUDED;97301;2294047;7025;571076;2028699
755236;Task-278;POLICY3_CLOUD;TASK_CONCLUDED;80505;1898065;5812;472501;1678518
756072;Task-411;POLICY3_CLOUD;TASK_CONCLUDED;58516;1379663;4225;343450;1220078
757173;Task-206;POLICY3_CLOUD;TASK_CONCLUDED;92984;2192274;6713;545741;1938698
759236;Task-179;POLICY3_CLOUD;TASK_CANCELED;123760;2318333;5097;577121;2070119
763236;Task-125;POLICY3_CLOUD;TASK_CONCLUDED;107287;2529481;7746;629684;2236901
767214;Task-381;POLICY3_CLOUD;TASK_CONCLUDED;65096;1534801;4700;382070;1357272
768120;Task-197;POLICY3_CLOUD;TASK_CONCLUDED;96289;2270206;6952;565141;2007615
770790;Task-193;POLICY3_CLOUD;TASK_CONCLUDED;97235;2292493;7020;570689;2027324
774228;Task-180;POLICY3_CLOUD;TASK_CONCLUDED;100092;2359854;7226;587458;2086893
776289;Task-386;POLICY3_CLOUD;TASK_CONCLUDED;65944;1554794;4761;387047;1374952
782731;Task-189;POLICY3_CLOUD;TASK_CANCELED;126499;2369634;5210;589892;2115928
786401;Task-402;POLICY3_CLOUD;TASK_CONCLUDED;64856;1529136;4682;380660;1352262
791926;Task-332;POLICY3_CLOUD;TASK_CONCLUDED;77512;1827516;5596;454938;1616130
794195;Task-303;POLICY3_CLOUD;TASK_CONCLUDED;82894;1954391;5985;486522;1728330
800150;Task-112;POLICY3_CLOUD;TASK_CONCLUDED;116391;2744120;8403;683116;2426713
806252;Task-277;POLICY3_CLOUD;TASK_CONCLUDED;89162;2102161;6437;523308;1859007
807864;Task-481;POLICY3_CLOUD;TASK_CONCLUDED;55107;1299288;3978;323442;1149000
810181;Task-168;POLICY3_CLOUD;TASK_CONCLUDED;108431;2556458;7828;636400;2260757
818850;Task-232;POLICY3_CLOUD;TASK_CONCLUDED;98876;2331180;7139;580319;2061536
822150;Task-210;POLICY3_CLOUD;TASK_CONCLUDED;103386;2437517;7464;606791;2155574
822842;Task-151;POLICY3_CLOUD;TASK_CONCLUDED;113850;2684226;8220;668206;2373747
822931;Task-464;POLICY3_CLOUD;TASK_CONCLUDED;60702;1431194;4382;356279;1265649
823149;Task-440;POLICY3_CLOUD;TASK_CONCLUDED;64530;1521440;4659;378744;1345457
823381;Task-480;POLICY2_MEC;TASK_CONCLUDED;26578;1380609;28926;314911;1194517
826638;Task-373;POLICY3_CLOUD;TASK_CONCLUDED;76752;1809591;5541;450476;1600278
826869;Task-490;POLICY3_CLOUD;TASK_CONCLUDED;56960;1342984;4112;334320;1187642
828189;Task-338;POLICY3_CLOUD;TASK_CONCLUDED;82442;1943741;5952;483871;1718912
828290;Task-435;POLICY3_CLOUD;TASK_CONCLUDED;66027;1556740;4767;387532;1376674
828315;Task-190;POLICY3_CLOUD;TASK_CONCLUDED;107699;2539192;7776;632102;2245488
831713;Task-361;POLICY3_CLOUD;TASK_CONCLUDED;80205;1891008;5791;470744;1672278
831823;Task-335;POLICY3_CLOUD;TASK_CONCLUDED;83453;1967587;6025;489807;1739999
832173;Task-421;POLICY2_MEC;TASK_CONCLUDED;32358;1680839;35216;383392;1454280
833037;Task-497;POLICY3_CLOUD;TASK_CONCLUDED;56721;1337341;4095;332915;1182652
833410;Task-228;POLICY3_CLOUD;TASK_CONCLUDED;101854;2401392;7354;597798;2123627
837843;Task-246;POLICY3_CLOUD;TASK_CONCLUDED;99995;2357576;7219;586890;2084879
838442;Task-449;POLICY3_CLOUD;TASK_CONCLUDED;83503;1564243;3439;389400;1396765
839825;Task-219;POLICY3_CLOUD;TASK_CANCELED;133483;2500448;5497;622457;2232735
842974;Task-154;POLICY3_CLOUD;TASK_CONCLUDED;116770;2753053;8431;685340;2434613
843060;Task-422;POLICY2_MEC;TASK_CONCLUDED;32902;1709081;35808;389834;1478715
845495;Task-401;POLICY3_CLOUD;TASK_CONCLUDED;74816;1763952;5401;439115;1559918
845701;Task-175;POLICY3_CLOUD;TASK_CONCLUDED;113329;2671928;8182;665145;2362871
847153;Task-270;POLICY3_CLOUD;TASK_CONCLUDED;97502;2298795;7039;572258;2032897
851146;Task-122;POLICY3_CLOUD;TASK_CONCLUDED;123495;2911614;8916;724812;2574833
852318;Task-159;POLICY3_CLOUD;TASK_CANCELED;148369;2779285;6110;691870;2481719
853673;Task-308;POLICY3_CLOUD;TASK_CONCLUDED;92068;2170695;6647;540369;1919614
853874;Task-121;POLICY3_CLOUD;TASK_CONCLUDED;124603;2937730;8996;731313;2597929
858678;Task-345;POLICY3_CLOUD;TASK_CONCLUDED;86784;2046112;6266;509355;1809441
858807;Task-331;POLICY3_CLOUD;TASK_CONCLUDED;88787;2093329;6410;521109;1851197
858821;Task-289;POLICY3_CLOUD;TASK_CANCELED;121417;2274427;5000;566192;2030914
860769;Task-243;POLICY3_CLOUD;TASK_CONCLUDED;104048;2453133;7512;610678;2169383
861002;Task-253;POLICY3_CLOUD;TASK_CONCLUDED;103053;2429665;7440;604836;2148630
861967;Task-144;POLICY3_CLOUD;TASK_CONCLUDED;121036;2853635;8739;710379;2523561
863963;Task-309;POLICY3_CLOUD;TASK_CANCELED;118244;2214999;4870;551398;1977849
865818;Task-115;POLICY3_CLOUD;TASK_CONCLUDED;127146;2997686;9180;746238;2650950
868777;Task-254;POLICY3_CLOUD;TASK_CONCLUDED;104281;2458621;7529;612045;2174237
869024;Task-424;POLICY3_CLOUD;TASK_CONCLUDED;75403;1777796;5444;442561;1572161
873511;Task-444;POLICY3_CLOUD;TASK_CONCLUDED;72484;1708974;5233;425429;1511299
873749;Task-176;POLICY3_CLOUD;TASK_CONCLUDED;117703;2775062;8498;690819;2454076
874474;Task-224;POLICY3_CLOUD;TASK_CONCLUDED;109984;2593069;7941;645514;2293133
876991;Task-478;POLICY3_CLOUD;TASK_CONCLUDED;67335;1587572;4861;395207;1403939
877479;Task-207;POLICY3_CLOUD;TASK_CONCLUDED;113080;2666065;8164;663685;2357686
879113;Task-167;POLICY3_CLOUD;TASK_CONCLUDED;120138;2832454;8674;705106;2504829
882788;Task-476;POLICY3_CLOUD;TASK_CONCLUDED;68730;1620458;4962;403394;1433021
883482;Task-183;POLICY3_CLOUD;TASK_CONCLUDED;118066;2783606;8524;692946;2461632
884904;Task-387;POLICY3_CLOUD;TASK_CONCLUDED;84043;1981487;6068;493268;1752291
886379;Task-489;POLICY3_CLOUD;TASK_CONCLUDED;84760;1587786;3490;395260;1417787
886402;Task-465;POLICY2_MEC;TASK_CONCLUDED;32748;1701080;35640;388009;1471792
886647;Task-410;POLICY3_CLOUD;TASK_CONCLUDED;80579;1899811;5817;472935;1680062
888037;Task-414;POLICY3_CLOUD;TASK_CONCLUDED;80457;1896953;5809;472224;1677535
888918;Task-139;POLICY3_CLOUD;TASK_CANCELED;159543;2988610;6571;743979;2668633
